"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (sc)","FT% (sc)","FC% (sc)","FS% (sc)","FO% (sc)","SI% (sc)","SL% (sc)","CU% (sc)","KC% (sc)","EP% (sc)","CH% (sc)","SC% (sc)","KN% (sc)","UN% (sc)","vFA (sc)","vFT (sc)","vFC (sc)","vFS (sc)","vFO (sc)","vSI (sc)","vSL (sc)","vCU (sc)","vKC (sc)","vEP (sc)","vCH (sc)","vSC (sc)","vKN (sc)","FA-X (sc)","FT-X (sc)","FC-X (sc)","FS-X (sc)","FO-X (sc)","SI-X (sc)","SL-X (sc)","CU-X (sc)","KC-X (sc)","EP-X (sc)","CH-X (sc)","SC-X (sc)","KN-X (sc)","FA-Z (sc)","FT-Z (sc)","FC-Z (sc)","FS-Z (sc)","FO-Z (sc)","SI-Z (sc)","SL-Z (sc)","CU-Z (sc)","KC-Z (sc)","EP-Z (sc)","CH-Z (sc)","SC-Z (sc)","KN-Z (sc)","wFA (sc)","wFT (sc)","wFC (sc)","wFS (sc)","wFO (sc)","wSI (sc)","wSL (sc)","wCU (sc)","wKC (sc)","wEP (sc)","wCH (sc)","wSC (sc)","wKN (sc)","wFA/C (sc)","wFT/C (sc)","wFC/C (sc)","wFS/C (sc)","wFO/C (sc)","wSI/C (sc)","wSL/C (sc)","wCU/C (sc)","wKC/C (sc)","wEP/C (sc)","wCH/C (sc)","wSC/C (sc)","wKN/C (sc)","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","CStr%","CSW%","xERA","playerid"
"Mike Armstrong","NYY","0","0","0","9","0","14.2","6.75","1.23","2.45",".135","100.0%","","","","3.07","","5.14","","-0.1","31","0","0","3.07","9","0","0","0","0","","14.2","54","9","5","5","4","2","0","0","1","0","11","","","","","","","","","","","","6.75","1.23","5.50","5.52","2.45",".173","0.75",".135","100.0%","5.14","","","","","","","","","","","-1.3","14.2","-1.3","-0.1","","","","-0.37","-0.40","0.03","1.69","0.18","0.12","0.33","0.62","0.41","1","0.17","-3.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","76","127","","20.4%","3.7%","","","-2.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.4","-0.1","0.3","31 - 31","16.7%","","","","","","","2.54","31.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129","37","349","61","253","67","55","49","141","150","43","","","","","","","","","","","","","","","","","","0","","","","1000314"
"Dennis Eckersley","CHC","11","7","0","25","25","169.1","6.22","1.01","0.80",".255","72.6%","","","","3.08","","2.84","","4.3","30","11","7","3.08","25","25","6","2","0","","169.1","664","145","61","58","15","19","4","3","0","3","117","","","","","","","","","","","","6.22","1.01","6.16","7.71","0.80",".226","0.97",".255","72.6%","2.84","","","","","","","","","36.8","169.1","","","36.8","4.3","","","","2.86","-9.31","12.18","22.73","2.37","0.95","0.94","0.87","1.16","19","3.27","-0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","80","73","","17.6%","2.9%","","","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","0.8","-0.9","-0.1","30 - 30","14.8%","","","","","","","2.77","22.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","31","368","90","109","91","74","93","101","122","33","","","","","","","","","","","","","","","","","","0","","","","1003660"
"Edwin Nunez","SEA","7","3","16","70","0","90.1","5.78","3.39","1.30",".242","81.2%","","","","3.09","","4.40","","0.1","22","7","3","3.09","70","0","0","0","16","","90.1","378","79","36","31","13","34","5","0","2","1","58","","","","","","","","","","","","5.78","3.39","1.71","7.87","1.30",".230","1.25",".242","81.2%","4.40","","","","","","","","","","","1.2","90.1","1.2","0.1","","","","1.69","-7.14","8.83","7.15","0.72","1.30","1.33","1.41","2.50","17","1.03","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","11","73","103","","15.3%","9.0%","","","-1.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","0.7","0.7","1.4","22 - 22","6.3%","","","","","","","3.78","27.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","102","108","87","133","89","91","87","114","113","104","","","","","","","","","","","","","","","","","","0","","","","1009658"
"Eric Show","SDP","12","11","0","35","35","233.0","5.45","3.36","1.04",".258","78.5%","","","","3.09","","4.17","","1.6","29","12","11","3.09","35","35","5","2","0","","233.0","977","212","95","80","27","87","7","5","4","0","141","","","","","","","","","","","","5.45","3.36","1.62","8.19","1.04",".240","1.28",".258","78.5%","4.17","","","","","","","","","15.2","233.0","","","15.2","1.6","","","","1.08","-17.04","18.12","10.88","1.22","1.04","0.99","0.88","1.55","30","0.05","0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","87","112","","14.4%","8.9%","","","-1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","1.0","1.0","2.0","29 - 29","5.5%","","","","","","","3.88","26.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","102","97","96","142","97","98","94","109","100","103","","","","","","","","","","","","","","","","","","0","","","","1011937"
"Gary Lavelle","TOR","5","7","8","69","0","72.2","6.19","4.46","0.62",".237","72.3%","","","","3.10","","3.69","","0.8","36","5","7","3.10","69","0","0","0","8","","72.2","298","54","30","25","5","36","5","0","0","1","50","","","","","","","","","","","","6.19","4.46","1.39","6.69","0.62",".206","1.24",".237","72.3%","3.69","","","","","","","","","","","7.8","72.2","7.8","0.8","","","","1.47","-7.92","9.40","11.64","1.25","1.80","1.86","2.07","2.13","50","0.87","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","13","73","90","","16.8%","12.1%","","","-0.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","0.6","0.0","0.6","36 - 36","4.7%","","","","","","","3.97","30.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","134","88","74","64","80","90","85","102","123","140","","","","","","","","","","","","","","","","","","0","","","","1007389"
"Steve Farr","KCR","2","1","1","16","3","37.2","8.60","4.78","0.48",".308","77.1%","","","","3.11","","3.22","","0.6","28","2","1","3.11","16","3","0","0","1","","37.2","164","34","15","13","2","20","4","2","2","0","36","","","","","","","","","","","","8.60","4.78","1.80","8.12","0.48",".239","1.43",".308","77.1%","3.22","","","","","","","","","2.1","13.1","3.3","24.1","5.4","0.6","","","","0.32","-2.26","2.59","1.90","0.17","0.90","0.80","0.94","0.62","11","0.23","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","74","80","","22.0%","12.2%","","","-0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","-0.3","0.3","0.1","28 - 28","9.8%","","","","","","","3.37","35.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","144","114","90","49","93","105","110","109","161","141","","","","","","","","","","","","","","","","","","0","","","","1003953"
"Scott Sanderson","CHC","5","6","0","19","19","121.0","5.95","2.01","0.97",".242","71.7%","","","","3.12","","3.43","","2.2","28","5","6","3.12","19","19","2","0","0","","121.0","480","100","49","42","13","27","4","0","1","0","80","","","","","","","","","","","","5.95","2.01","2.96","7.44","0.97",".221","1.05",".242","71.7%","3.43","","","","","","","","","19.4","121.0","","","19.4","2.2","","","","1.88","-6.91","8.80","14.97","1.51","0.96","0.93","0.87","1.22","17","0.99","0.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","81","88","","16.7%","5.6%","","","-0.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","0.9","-0.7","0.2","28 - 28","11.0%","","","","","","","3.21","25.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108","61","177","87","132","89","80","88","99","115","65","","","","","","","","","","","","","","","","","","0","","","","1011422"
"Rod Scurry","- - -","1","1","3","35","0","60.1","8.95","5.67","0.90",".261","77.0%","","","","3.13","","3.88","","0.0","29","1","1","3.13","35","0","0","0","3","","60.1","261","47","26","21","6","38","2","0","3","0","60","","","","","","","","","","","","8.95","5.67","1.58","7.01","0.90",".211","1.41",".261","77.0%","3.88","","","","","","","","","","","0.4","59.4","0.4","0.0","","","","-0.31","-2.90","2.59","-6.52","-0.70","0.64","0.74","0.90","1.38","20","-0.51","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","6","85","103","","23.0%","14.6%","","","-0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.2","0.0","0.2","29 - 29","8.4%","","","","","","","3.53","39.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","172","96","82","112","85","106","95","107","162","169","","","","","","","","","","","","","","","","","","0","","","","1011700"
"Andy Hawkins","SDP","18","8","0","33","33","228.2","2.72","2.56","0.71",".265","77.0%","","","","3.15","","4.01","","2.0","25","18","8","3.15","33","33","5","2","0","","228.2","953","229","88","80","18","65","8","4","3","3","69","","","","","","","","","","","","2.72","2.56","1.06","9.01","0.71",".259","1.29",".265","77.0%","4.01","","","","","","","","","18.6","228.2","","","18.6","2.0","","","","1.75","-15.90","17.66","14.23","1.45","1.06","0.96","0.87","1.68","28","0.92","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","89","108","","7.2%","6.8%","","","-0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","0.6","1.6","2.2","25 - 25","0.4%","","","","","","","4.49","15.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","78","63","105","97","105","98","96","107","50","79","","","","","","","","","","","","","","","","","","0","","","","1005514"
"Dave Schmidt","TEX","7","6","5","51","4","85.2","4.83","2.31","0.63",".266","70.8%","","","","3.15","","3.29","","1.2","28","7","6","3.15","51","4","1","1","5","","85.2","356","81","36","30","6","22","8","0","2","1","46","","","","","","","","","","","","4.83","2.31","2.09","8.51","0.63",".243","1.20",".266","70.8%","3.29","","","","","","","","","0.6","23.0","10.9","62.2","11.5","1.2","","","","1.43","-5.20","6.63","15.57","1.57","1.01","1.08","1.01","0.96","15","0.65","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","5","75","82","","12.9%","6.2%","","","-0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","0.2","-0.2","0.0","28 - 28","6.7%","","","","","","","3.73","20.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","69","133","95","65","94","88","95","100","95","72","","","","","","","","","","","","","","","","","","0","","","","1011580"
"Bert Blyleven","- - -","17","16","0","37","37","293.2","6.31","2.30","0.70",".271","71.9%","","","","3.16","","3.16","","7.0","34","17","16","3.16","37","37","24","5","0","","293.2","1203","264","121","103","23","75","1","9","4","1","206","","","","","","","","","","","","6.31","2.30","2.75","8.09","0.70",".236","1.15",".271","71.9%","3.16","","","","","","","","","64.0","293.2","","","64.0","7.0","","","","2.63","-18.85","21.48","33.98","3.24","0.96","0.91","0.87","1.30","13","3.62","-0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","74","77","","17.1%","6.2%","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","0.7","-0.9","-0.2","34 - 34","10.9%","","","","","","","3.23","25.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","69","174","90","73","92","84","97","101","126","72","","","","","","","","","","","","","","","","","","0","","","","1001098"
"Tom Seaver","CHW","16","11","0","35","33","238.2","5.05","2.60","0.83",".264","73.2%","","","","3.17","","3.73","","3.9","40","16","11","3.17","35","33","6","1","0","","238.2","993","223","103","84","22","69","6","8","10","0","134","","","","","","","","","","","","5.05","2.60","1.94","8.41","0.83",".243","1.22",".264","73.2%","3.73","","","","","","","","","38.4","237.0","-0.8","1.2","37.6","3.9","","","","3.07","-16.24","19.31","22.66","2.27","1.02","1.00","0.90","1.41","29","1.17","1.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","74","91","","13.5%","6.9%","","","-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","1.0","0.2","1.2","40 - 40","6.5%","","","","","","","3.75","22.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","78","121","93","85","95","89","95","103","99","80","","","","","","","","","","","","","","","","","","0","","","","1011708"
"Jeff Reardon","MON","2","8","41","63","0","87.2","6.88","2.67","0.72",".239","75.1%","","","","3.18","","3.12","","1.2","29","2","8","3.18","63","0","0","0","41","","87.2","356","68","31","31","7","26","4","1","2","0","67","","","","","","","","","","","","6.88","2.67","2.58","6.98","0.72",".207","1.07",".239","75.1%","3.12","","","","","","","","","","","10.6","87.2","10.6","1.2","","","","2.20","-9.34","11.53","6.78","0.72","1.91","1.89","1.96","2.00","13","1.63","-0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","13","90","85","","18.8%","7.3%","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","0.9","-0.5","0.4","29 - 29","11.5%","","","","","","","3.16","28.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","81","154","82","98","84","82","87","104","130","85","","","","","","","","","","","","","","","","","","0","","","","1010741"
"Rick Sutcliffe","CHC","8","8","0","20","20","130.0","7.06","3.05","0.83",".276","77.1%","","","","3.18","","3.40","","2.4","29","8","8","3.18","20","20","6","3","0","","130.0","549","119","51","46","12","44","3","3","6","0","102","","","","","","","","","","","","7.06","3.05","2.32","8.24","0.83",".237","1.25",".276","77.1%","3.40","","","","","","","","","21.2","130.0","","","21.2","2.4","","","","1.67","-9.01","10.68","14.24","1.48","1.06","0.97","0.88","1.23","14","0.89","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","83","87","","18.6%","8.0%","","","-0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","-0.1","0.4","0.4","29 - 29","10.6%","","","","","","","3.27","28.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128","93","138","96","113","96","95","100","107","129","93","","","","","","","","","","","","","","","","","","0","","","","1012734"
"Gary Lucas","MON","6","2","1","49","0","67.2","4.12","3.19","0.80",".256","73.8%","","","","3.19","","3.98","","-0.1","30","6","2","3.19","49","0","0","0","1","","67.2","284","63","29","24","6","24","8","0","5","0","31","","","","","","","","","","","","4.12","3.19","1.29","8.38","0.80",".242","1.29",".256","73.8%","3.98","","","","","","","","","","","-1.3","67.2","-1.3","-0.1","","","","-1.88","-5.19","3.31","-4.25","-0.50","0.84","0.83","1.07","1.11","32","-0.27","-1.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","11","90","109","","10.9%","8.5%","","","-0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.4","-0.1","0.4","30 - 30","2.5%","","","","","","","4.24","21.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","97","77","98","109","98","98","93","102","76","98","","","","","","","","","","","","","","","","","","0","","","","1007805"
"Rich Bordi","NYY","6","8","2","50","3","98.0","5.88","2.66","0.46",".285","71.2%","","","","3.21","","2.96","","1.9","26","6","8","3.21","50","3","0","0","2","","98.0","415","95","41","35","5","29","4","1","1","0","64","","","","","","","","","","","","5.88","2.66","2.21","8.72","0.46",".247","1.27",".285","71.2%","2.96","","","","","","","","","5.3","19.1","12.5","78.2","17.8","1.9","","","","0.01","-6.69","6.70","9.71","0.96","1.01","1.06","1.36","1.77","34","1.24","-1.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","12","80","74","","15.4%","7.0%","","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","-0.2","-0.3","-0.6","26 - 26","8.4%","","","","","","","3.53","23.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","80","140","97","47","96","92","102","100","113","81","","","","","","","","","","","","","","","","","","0","","","","1001199"
"Dave Shipanoff","PHI","1","2","3","26","0","36.1","6.44","3.96","0.74",".259","76.4%","","","","3.22","","3.73","","0.0","25","1","2","3.22","26","0","0","0","3","","36.1","162","33","15","13","3","16","3","1","0","1","26","","","","","","","","","","","","6.44","3.96","1.63","8.17","0.74",".228","1.35",".259","76.4%","3.73","","","","","","","","","","","0.2","36.1","0.2","0.0","","","","-0.15","-2.01","1.87","2.30","0.32","0.74","0.73","0.80","0.95","14","0.00","-0.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","4","87","103","","16.0%","9.9%","","","-0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.0","0.2","25 - 25","6.2%","","","","","","","3.80","27.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","121","97","96","101","92","103","94","106","111","114","","","","","","","","","","","","","","","","","","0","","","","1011904"
"Jim Acker","TOR","7","2","10","61","0","86.1","4.38","4.48","0.73",".287","79.4%","","","","3.23","","4.36","","-0.1","26","7","2","3.23","61","0","0","0","10","","86.1","370","86","35","31","7","43","1","3","2","0","42","","","","","","","","","","","","4.38","4.48","0.98","8.97","0.73",".265","1.49",".287","79.4%","4.36","","","","","","","","","","","-0.6","86.1","-0.6","-0.1","","","","-0.15","-7.72","7.57","4.07","0.53","1.22","1.37","1.81","2.12","35","-0.05","-0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","19","76","106","","11.4%","11.6%","","","-1.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","-0.3","2.0","1.7","26 - 26","-0.3%","","","","","","","4.57","24.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","135","62","100","75","103","109","103","112","83","135","","","","","","","","","","","","","","","","","","0","","","","1000030"
"Rick Aguilera","NYM","10","7","0","21","19","122.1","5.44","2.72","0.59",".285","74.1%","","","","3.24","","3.28","","2.0","23","10","7","3.24","21","19","2","0","0","","122.1","507","118","49","44","8","37","2","2","5","2","74","","","","","","","","","","","","5.44","2.72","2.00","8.68","0.59",".252","1.27",".285","74.1%","3.28","","","","","","","","","16.3","118.1","1.5","4.0","17.8","2.0","","","","0.90","-7.89","8.79","1.30","0.04","0.98","0.93","1.00","1.21","18","0.37","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","92","91","","14.6%","7.3%","","","-0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","-0.4","0.5","0.1","23 - 23","7.3%","","","","","","","3.66","23.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","83","119","102","80","102","96","104","103","101","85","","","","","","","","","","","","","","","","","","0","","","","1000086"
"Bobby Moore","SFG","0","0","0","11","0","16.2","5.40","5.40","0.54",".298","82.7%","","","","3.24","","4.06","","0.0","26","0","0","3.24","11","0","0","0","0","","16.2","78","18","6","6","1","10","2","0","0","1","10","","","","","","","","","","","","5.40","5.40","1.00","9.72","0.54",".265","1.68",".298","82.7%","4.06","","","","","","","","","","","-0.3","16.2","-0.3","0.0","","","","-0.15","-0.52","0.37","-2.24","-0.27","0.28","0.37","0.42","0.61","7","-0.09","-0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","93","111","","12.8%","12.8%","","","-0.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","-0.1","0.2","0.1","26 - 26","0.0%","","","","","","","4.54","26.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","165","60","114","74","107","128","108","115","89","149","","","","","","","","","","","","","","","","","","0","","","","1009094"
